id,gloss,count,speaker_role,language,target_child_name,target_child_age,target_child_sex,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
12976302,Zucchini,1,Father,deu,Leo,31.394895172385468,male,German,16,251,18309,18301,29623
13194797,Zucchini,1,Mother,deu,Leo,52.26390685640362,male,German,16,251,18302,18301,29851
13289275,Zucchini,1,Mother,deu eng,Corinna,31.526314708720918,female,German,16,252,18331,18330,29924
13412776,Zucchini,1,Investigator,deu,Cosima,54.85533583851824,female,German,16,252,18363,18359,30094
13582278,Zucchini,1,Target_Child,deu,Sebastian,42.986508963223066,male,German,16,252,18403,18403,30343
13582700,Zucchini,1,Mother,deu,Sebastian,42.986508963223066,male,German,16,252,18409,18403,30343
13584407,Zucchini,1,Investigator,deu,Sebastian,42.986508963223066,male,German,16,252,18406,18403,30343
13589527,Zucchini,1,Mother,deu,Sebastian,42.493685701965134,male,German,16,252,18409,18403,30342
13590166,Zucchini,3,Investigator,deu,Sebastian,42.493685701965134,male,German,16,252,18406,18403,30342
13612720,Zucchini,1,Mother,deu,Sebastian,47.98661163473582,male,German,16,252,18404,18403,30353
13614695,Zucchini,1,Investigator,deu,Sebastian,47.98661163473582,male,German,16,252,18406,18403,30353
13624051,Zucchini,2,Mother,deu,Sebastian,67.32992463910963,male,German,16,252,18404,18403,30374
