german,aoa_german_comb,word_freq,sem_dom,familiarity_m,typicality_m,select,word_type
zange,4.85,3.65,NA,NA,NA,x,noun
auspressen,4.86,NA,NA,NA,NA,x,verb
fließen,4.87,NA,NA,NA,NA,x,verb
lineal,4.9,NA,NA,NA,NA,x,noun
täglich,4.93,NA,NA,NA,NA,x,adjective
gefühl,5,NA,NA,NA,NA,x,noun
sache,5,NA,NA,NA,NA,x,noun
streng,5,NA,NA,NA,NA,x,adjective
treppenhaus,5.05,NA,NA,NA,NA,x,noun
tafel,5.06,NA,NA,NA,NA,x,noun
büro,5.07,NA,NA,NA,NA,x,noun
nummer,5.08,NA,NA,NA,NA,x,noun
rudern,5.1,NA,NA,NA,NA,x,verb
held,5.12,NA,NA,NA,NA,x,noun
schleppen,5.14,NA,NA,NA,NA,x,verb
ferien,5.15,NA,NA,NA,NA,x,noun
teuer,5.16,NA,NA,NA,NA,x,adjective
geheim,5.17,NA,NA,NA,NA,x,adjective
impfung,5.17,NA,NA,NA,NA,x,noun
neblig,5.2,NA,NA,NA,NA,x,adjective
mitgeben,5.21,NA,NA,NA,NA,x,verb
schuld,5.21,NA,NA,NA,NA,x,noun
juni,5.24,NA,NA,NA,NA,x,noun
verwandt,5.24,NA,NA,NA,NA,x,adjective
sport,5.26,NA,NA,NA,NA,x,noun
abhauen,5.28,NA,NA,NA,NA,x,verb
tippen,5.29,NA,NA,NA,NA,x,verb
stamm,5.29,NA,NA,NA,NA,x,noun
feige,5.3,1.62,NA,NA,NA,x,adjective
frisur,5.32,NA,NA,NA,NA,x,noun
sechzig,5.33,NA,NA,NA,NA,x,adjective
umsonst,5.33,NA,NA,NA,NA,x,adjective
glastür,5.35,NA,NA,NA,NA,x,noun
portion,5.37,NA,NA,NA,NA,x,noun
feilen,5.38,NA,NA,NA,NA,x,verb
beispiel,5.4,NA,NA,NA,NA,x,noun
wert,5.4,NA,NA,NA,NA,x,noun
schweigen,5.42,NA,NA,NA,NA,x,verb
markt,5.43,NA,NA,NA,NA,x,noun
ehrlich,5.44,NA,NA,NA,NA,x,adjective
wachs,5.44,NA,NA,NA,NA,x,noun
kummer,5.45,NA,NA,NA,NA,x,noun
albern,5.47,NA,NA,NA,NA,x,adjective
verkehr,5.47,NA,NA,NA,NA,x,noun
blind,5.48,NA,NA,NA,NA,x,adjective
gesundheit,5.53,NA,NA,NA,NA,x,noun
appetit,5.54,NA,NA,NA,NA,x,noun
reif,5.55,NA,NA,NA,NA,x,adjective
vergessen,5.57,NA,NA,NA,NA,x,verb
bestellen,5.6,NA,NA,NA,NA,x,verb
zahm,5.6,NA,NA,NA,NA,x,adjective
verbessern,5.61,NA,NA,NA,NA,x,verb
wundern,5.65,NA,NA,NA,NA,x,verb
melden,5.68,NA,NA,NA,NA,x,verb
benzin,5.75,NA,NA,NA,NA,x,noun
geburt,5.79,NA,NA,NA,NA,x,noun
pflegen,5.79,NA,NA,NA,NA,x,verb
tänzer,5.79,4.7,NA,NA,NA,x,noun
flug,5.8,NA,NA,NA,NA,x,noun
frechheit,5.83,NA,NA,NA,NA,x,noun
mager,5.83,NA,NA,NA,NA,x,adjective
anbieten,5.84,NA,NA,NA,NA,x,verb
unsicher,5.84,NA,NA,NA,NA,x,adjective
flagge,5.86,NA,NA,NA,NA,x,noun
angeben,5.88,NA,NA,NA,NA,x,verb
heiraten,5.89,NA,NA,NA,NA,x,verb
känguru,5.89,0.02,NA,NA,NA,x,noun
gegensatz,5.9,NA,NA,NA,NA,x,noun
okay,5.92,NA,NA,NA,NA,x,adjective
wertvoll,5.92,NA,NA,NA,NA,x,adjective
vollmond,5.93,NA,NA,NA,NA,x,noun
batterie,5.94,NA,NA,NA,NA,x,noun
zucchini,5.95,0.01,inanimate,3.8,2,x,NA
ausnahme,6,NA,NA,NA,NA,x,noun
vitamin,6,NA,NA,NA,NA,x,noun
bequem,6.05,NA,NA,NA,NA,x,adjective
vermuten,6.05,NA,NA,NA,NA,x,verb
einsam,6.07,NA,NA,NA,NA,x,adjective
restaurant,6.08,NA,artefact,NA,NA,x,noun
nutzen,6.08,NA,NA,NA,NA,x,verb
restaurant,6.08,NA,NA,NA,NA,x,noun
verzichten,6.11,NA,NA,NA,NA,x,verb
beruf,6.16,NA,NA,NA,NA,x,noun
dachs,6.17,2.43,animate,2.65,2.85,x,NA
rucola,6.18,NA,inanimate,3.55,2.95,x,NA
gelingen,6.18,NA,NA,NA,NA,x,verb
grenze,6.19,NA,NA,NA,NA,x,noun
ruine,6.21,NA,artefact,NA,NA,x,noun
ruine,6.21,NA,artefact,NA,NA,x,noun
ruine,6.21,NA,NA,NA,NA,x,noun
tennis,6.24,2.08,NA,NA,NA,x,noun
applaus,6.26,NA,NA,NA,NA,x,noun
elch,6.28,0.56,animate,2.9,2.35,x,NA
unfair,6.28,NA,NA,NA,NA,x,adjective
sparen,6.29,NA,NA,NA,NA,x,verb
freiwillig,6.3,NA,NA,NA,NA,x,adjective
locher,6.31,NA,artefact,NA,NA,x,noun
gazelle,6.31,0.69,animate,2.42,3.1,x,NA
locher,6.31,NA,artefact,NA,NA,x,noun
locher,6.31,NA,NA,NA,NA,x,noun
geheimnisvoll,6.33,NA,NA,NA,NA,x,adjective
freizeit,6.38,NA,NA,NA,NA,x,noun
rosten,6.41,NA,NA,NA,NA,x,verb
testen,6.44,NA,NA,NA,NA,x,verb
ozean,6.46,NA,inanimate,NA,NA,x,NA
nahrung,6.46,NA,NA,NA,NA,x,noun
pflicht,6.48,NA,NA,NA,NA,x,noun
vorstellen,6.5,NA,NA,NA,NA,x,verb
komma,6.53,NA,artefact,NA,NA,x,noun
komma,6.53,NA,NA,NA,NA,x,noun
herstellen,6.54,NA,NA,NA,NA,x,verb
firma,6.56,NA,NA,NA,NA,x,noun
palme,6.57,NA,inanimate,NA,NA,x,NA
wirken,6.57,NA,NA,NA,NA,x,verb
ventilator,6.59,NA,artefact,NA,NA,x,NA
besorgt,6.59,NA,NA,NA,NA,x,adjective
erwarten,6.59,NA,NA,NA,NA,x,verb
landschaft,6.61,NA,inanimate,NA,NA,x,noun
fasan,6.61,1.5,animate,2.8,3.05,x,NA
landschaft,6.61,NA,inanimate,NA,NA,x,noun
landschaft,6.61,NA,NA,NA,NA,x,noun
regel,6.62,NA,NA,NA,NA,x,noun
labyrinth,6.63,NA,artefact,NA,NA,x,NA
alphabetisch,6.63,NA,NA,NA,NA,x,adjective
herzlich,6.63,NA,NA,NA,NA,x,adjective
scherz,6.63,NA,NA,NA,NA,x,noun
neidisch,6.68,NA,NA,NA,NA,x,adjective
temperatur,6.7,NA,NA,NA,NA,x,noun
weiblich,6.71,NA,NA,NA,NA,x,adjective
programm,6.73,NA,NA,NA,NA,x,noun
magnet,6.74,NA,NA,NA,NA,x,noun
ahorn,6.79,NA,inanimate,NA,NA,x,NA
anzahl,6.79,NA,NA,NA,NA,x,noun
operieren,6.79,NA,NA,NA,NA,x,verb
hering,6.81,NA,animate,NA,NA,x,NA
peinlich,6.81,NA,NA,NA,NA,x,adjective
chef,6.83,NA,NA,NA,NA,x,noun
ausreden,6.85,NA,NA,NA,NA,x,verb
sprachlos,6.92,NA,NA,NA,NA,x,adjective
spurlos,6.94,NA,NA,NA,NA,x,adjective
flunder,6.95,NA,animate,NA,NA,x,NA
entstehen,7,NA,NA,NA,NA,x,verb
kontrolle,7,NA,NA,NA,NA,x,noun
interesse,7.04,NA,NA,NA,NA,x,noun
spende,7.05,NA,NA,NA,NA,x,noun
bildhübsch,7.06,NA,NA,NA,NA,x,adjective
folge,7.07,NA,NA,NA,NA,x,noun
mutlos,7.07,NA,NA,NA,NA,x,adjective
mitglied,7.1,NA,NA,NA,NA,x,noun
pfifferling,7.13,NA,inanimate,NA,NA,x,NA
humor,7.16,NA,NA,NA,NA,x,noun
fit,7.21,NA,NA,NA,NA,x,adjective
bildschirm,7.22,NA,artefact,NA,NA,x,noun
bildschirm,7.22,NA,NA,NA,NA,x,noun
harken,7.24,NA,NA,NA,NA,x,verb
verlegen,7.25,NA,NA,NA,NA,x,adjective
verloben,7.26,NA,NA,NA,NA,x,verb
alltag,7.28,NA,NA,NA,NA,x,noun
verweigern,7.29,NA,NA,NA,NA,x,verb
wehrlos,7.31,NA,NA,NA,NA,x,adjective
magnetisch,7.33,NA,NA,NA,NA,x,adjective
beweisen,7.35,NA,NA,NA,NA,x,verb
lerche,7.37,NA,animate,NA,NA,x,NA
reserviert,7.39,NA,NA,NA,NA,x,adjective
empfinden,7.42,NA,NA,NA,NA,x,verb
hamburger,7.5,NA,NA,NA,NA,x,noun
reizen,7.5,NA,NA,NA,NA,x,verb
bereich,7.53,NA,NA,NA,NA,x,noun
treu,7.56,NA,NA,NA,NA,x,adjective
sicherheit,7.57,NA,NA,NA,NA,x,noun
betonen,7.6,NA,NA,NA,NA,x,verb
krawatte,7.64,6.34,artefact,3.1,3.5,x,noun
jaguar,7.64,NA,animate,NA,NA,x,NA
krawatte,7.64,6.34,artefact,3.1,3.5,x,noun
krawatte,7.64,6.34,NA,NA,NA,x,noun
kunde,7.67,NA,NA,NA,NA,x,noun
vertreten,7.68,NA,NA,NA,NA,x,verb
erfahrung,7.7,NA,NA,NA,NA,x,noun
gerechtigkeit,7.7,NA,NA,NA,NA,x,noun
risiko,7.7,NA,NA,NA,NA,x,noun
niete,7.71,NA,NA,NA,NA,x,noun
persönlich,7.74,NA,NA,NA,NA,x,adjective
turban,7.75,NA,artefact,NA,NA,x,NA
sinnvoll,7.75,NA,NA,NA,NA,x,adjective
mieten,7.77,NA,NA,NA,NA,x,verb
panik,7.78,NA,NA,NA,NA,x,noun
klassik,7.79,NA,NA,NA,NA,x,noun
baumwolle,7.81,NA,inanimate,NA,NA,x,noun
baumwolle,7.81,NA,NA,NA,NA,x,noun
nelke,7.82,NA,inanimate,NA,NA,x,NA
produkt,7.83,NA,NA,NA,NA,x,noun
einstellen,7.88,NA,NA,NA,NA,x,verb
übermut,7.88,NA,NA,NA,NA,x,noun
vermieten,7.88,NA,NA,NA,NA,x,verb
ausdauer,7.92,NA,NA,NA,NA,x,noun
humorlos,7.93,NA,NA,NA,NA,x,adjective
logisch,7.96,NA,NA,NA,NA,x,adjective
hummer,8,NA,animate,NA,NA,x,NA
lilie,8,NA,inanimate,NA,NA,x,NA
begründen,8,NA,NA,NA,NA,x,verb
eitel,8,NA,NA,NA,NA,x,adjective
tourist,8,NA,NA,NA,NA,x,noun
praktisch,8.04,NA,NA,NA,NA,x,adjective
zustand,8.05,NA,NA,NA,NA,x,noun
bedauern,8.06,NA,NA,NA,NA,x,verb
unsicherheit,8.08,NA,NA,NA,NA,x,noun
ignorieren,8.1,NA,NA,NA,NA,x,verb
paris,8.16,NA,NA,NA,NA,x,noun
allergisch,8.17,NA,NA,NA,NA,x,adjective
million,8.17,NA,NA,NA,NA,x,noun
empfehlen,8.2,NA,NA,NA,NA,x,verb
versager,8.26,NA,NA,NA,NA,x,noun
krise,8.29,NA,NA,NA,NA,x,noun
hygienisch,8.36,NA,NA,NA,NA,x,adjective
speziell,8.38,NA,NA,NA,NA,x,adjective
tätigkeit,8.38,NA,NA,NA,NA,x,noun
abseits,8.39,NA,NA,NA,NA,x,adjective
filmstar,8.42,NA,artefact,NA,NA,x,noun
filmstar,8.42,NA,NA,NA,NA,x,noun
wirkung,8.47,NA,NA,NA,NA,x,noun
bereuen,8.48,NA,NA,NA,NA,x,verb
generation,8.53,NA,NA,NA,NA,x,noun
mode,8.57,NA,NA,NA,NA,x,noun
akzeptieren,8.58,NA,NA,NA,NA,x,verb
vorwand,8.58,NA,NA,NA,NA,x,noun
erholung,8.64,NA,NA,NA,NA,x,noun
cello,8.67,1.01,artefact,2.95,2.3,x,NA
python,8.68,NA,animate,NA,NA,x,NA
entlassen,8.72,NA,NA,NA,NA,x,verb
positiv,8.78,NA,NA,NA,NA,x,adjective
vertraut,8.79,NA,NA,NA,NA,x,adjective
reservieren,8.8,NA,NA,NA,NA,x,verb
unabhängigkeit,8.8,NA,NA,NA,NA,x,noun
scheitern,8.82,NA,NA,NA,NA,x,verb
drama,8.84,NA,NA,NA,NA,x,noun
optimal,8.84,NA,NA,NA,NA,x,adjective
kündigen,8.88,NA,NA,NA,NA,x,verb
pizzeria,8.88,NA,NA,NA,NA,x,noun
betrieb,8.91,NA,NA,NA,NA,x,noun
satellit,8.94,NA,artefact,NA,NA,x,NA
grundlage,8.94,NA,NA,NA,NA,x,noun
anerkennen,9,NA,NA,NA,NA,x,verb
bedingung,9,NA,NA,NA,NA,x,noun
system,9,NA,NA,NA,NA,x,noun
job,9.12,NA,NA,NA,NA,x,noun
versichern,9.14,NA,NA,NA,NA,x,verb
abitur,9.16,NA,NA,NA,NA,x,noun
nachweisen,9.16,NA,NA,NA,NA,x,verb
widmen,9.17,NA,NA,NA,NA,x,verb
prozent,9.19,NA,NA,NA,NA,x,noun
song,9.19,NA,NA,NA,NA,x,noun
verwesen,9.24,NA,NA,NA,NA,x,verb
urne,9.29,NA,artefact,NA,NA,x,NA
alternative,9.29,NA,NA,NA,NA,x,noun
politik,9.3,NA,NA,NA,NA,x,noun
ampulle,9.39,NA,artefact,NA,NA,x,NA
studieren,9.39,NA,NA,NA,NA,x,verb
spontan,9.43,NA,NA,NA,NA,x,adjective
dokument,9.47,NA,NA,NA,NA,x,noun
exakt,9.59,NA,NA,NA,NA,x,adjective
formel,9.59,NA,NA,NA,NA,x,noun
virus,9.65,NA,NA,NA,NA,x,noun
redselig,9.74,NA,NA,NA,NA,x,adjective
orchidee,9.76,NA,inanimate,NA,NA,x,NA
ziellos,9.79,NA,NA,NA,NA,x,adjective
höchstpersönlich,9.85,NA,NA,NA,NA,x,adjective
beratung,9.88,NA,NA,NA,NA,x,noun
passiv,9.89,NA,NA,NA,NA,x,adjective
minimal,9.91,NA,NA,NA,NA,x,adjective
zucchini,5.95,0.01,inanimate,3.8,2,x,noun
dachs,6.17,2.43,animate,2.65,2.85,x,noun
rucola,6.18,NA,inanimate,3.55,2.95,x,noun
ruine,6.21,NA,artefact,NA,NA,x,noun
elch,6.28,0.56,animate,2.9,2.35,x,noun
locher,6.31,NA,artefact,NA,NA,x,noun
gazelle,6.31,0.69,animate,2.42,3.1,x,noun
ozean,6.46,NA,inanimate,NA,NA,x,noun
palme,6.57,NA,inanimate,NA,NA,x,noun
ventilator,6.59,NA,artefact,NA,NA,x,noun
landschaft,6.61,NA,inanimate,NA,NA,x,noun
fasan,6.61,1.5,animate,2.8,3.05,x,noun
labyrinth,6.63,NA,artefact,NA,NA,x,noun
ahorn,6.79,NA,inanimate,NA,NA,x,noun
hering,6.81,NA,animate,NA,NA,x,noun
flunder,6.95,NA,animate,NA,NA,x,noun
pfifferling,7.13,NA,inanimate,NA,NA,x,noun
lerche,7.37,NA,animate,NA,NA,x,noun
krawatte,7.64,6.34,artefact,3.1,3.5,x,noun
jaguar,7.64,NA,animate,NA,NA,x,noun
turban,7.75,NA,artefact,NA,NA,x,noun
nelke,7.82,NA,inanimate,NA,NA,x,noun
hummer,8,NA,animate,NA,NA,x,noun
lilie,8,NA,inanimate,NA,NA,x,noun
cello,8.67,1.01,artefact,2.95,2.3,x,noun
python,8.68,NA,animate,NA,NA,x,noun
satellit,8.94,NA,artefact,NA,NA,x,noun
urne,9.29,NA,artefact,NA,NA,x,noun
ampulle,9.39,NA,artefact,NA,NA,x,noun
orchidee,9.76,NA,inanimate,NA,NA,x,noun
