model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
irt3,0,0,-6089.51143539769,80.886017324198,553.830361861806,13.1141790086192,12179.0228707954,161.772034648396
irt3_dif_order,-0.826244845976486,4.09974554873685,-6090.33768024367,80.7461987117549,571.216078764971,13.5851702978476,12180.6753604873,161.49239742351
